SKU_ID,Product_Name,Category,Sub_Category,MRP,Store_Price,Lead_Time_Days,Inventory_Turn
DM-A0001,Apparel Item 1,Apparel,Kids,627,376,15,35
DM-F0002,FMCG Item 2,FMCG,Biscuits,122,112,5,37
DM-F0003,FMCG Item 3,FMCG,Soap,117,107,5,17
DM-F0004,FMCG Item 4,FMCG,Soap,203,186,5,17
DM-F0005,FMCG Item 5,FMCG,Soap,251,230,4,15
DM-S0006,Staples Item 6,Staples,Flour,119,101,1,41
DM-S0007,Staples Item 7,Staples,Flour,632,537,2,41
DM-S0008,Staples Item 8,Staples,Flour,165,140,3,23
DM-G0009,General Item 9,General,Bedding,1446,1084,10,25
DM-F0010,FMCG Item 10,FMCG,Soap,118,108,5,35
DM-S0011,Staples Item 11,Staples,Dal,242,205,1,34
DM-A0012,Apparel Item 12,Apparel,Kids,231,138,11,40
DM-G0013,General Item 13,General,Kitchen,1342,1006,10,23
DM-F0014,FMCG Item 14,FMCG,Shampoo,436,401,4,39
DM-A0015,Apparel Item 15,Apparel,Mens,574,344,15,35
DM-S0016,Staples Item 16,Staples,Rice,686,583,3,15
DM-G0017,General Item 17,General,Kitchen,1715,1286,12,31
DM-S0018,Staples Item 18,Staples,Dal,477,405,2,41
DM-G0019,General Item 19,General,Kitchen,422,316,8,30
DM-F0020,FMCG Item 20,FMCG,Shampoo,421,387,3,39
DM-S0021,Staples Item 21,Staples,Flour,130,110,1,38
DM-G0022,General Item 22,General,Bedding,1006,754,11,31
DM-S0023,Staples Item 23,Staples,Dal,60,51,1,28
DM-F0024,FMCG Item 24,FMCG,Biscuits,238,218,3,31
DM-F0025,FMCG Item 25,FMCG,Soap,283,260,5,34
DM-S0026,Staples Item 26,Staples,Flour,154,130,1,19
DM-A0027,Apparel Item 27,Apparel,Kids,914,548,10,27
DM-A0028,Apparel Item 28,Apparel,Kids,943,565,13,24
DM-F0029,FMCG Item 29,FMCG,Shampoo,331,304,3,43
DM-A0030,Apparel Item 30,Apparel,Womens,328,196,10,39
DM-A0031,Apparel Item 31,Apparel,Mens,1129,677,11,23
DM-S0032,Staples Item 32,Staples,Oil,690,586,2,39
DM-G0033,General Item 33,General,Kitchen,969,726,7,31
DM-S0034,Staples Item 34,Staples,Dal,815,692,3,21
DM-G0035,General Item 35,General,Toys,362,271,7,34
DM-G0036,General Item 36,General,Bedding,415,311,8,28
DM-S0037,Staples Item 37,Staples,Rice,211,179,3,21
DM-A0038,Apparel Item 38,Apparel,Kids,431,258,10,42
DM-S0039,Staples Item 39,Staples,Flour,453,385,1,22
DM-S0040,Staples Item 40,Staples,Rice,331,281,2,20
DM-G0041,General Item 41,General,Toys,1754,1315,12,17
DM-G0042,General Item 42,General,Kitchen,1776,1332,11,39
DM-F0043,FMCG Item 43,FMCG,Biscuits,129,118,4,33
DM-G0044,General Item 44,General,Kitchen,1806,1354,12,21
DM-F0045,FMCG Item 45,FMCG,Snacks,392,360,3,25
DM-A0046,Apparel Item 46,Apparel,Womens,201,120,10,21
DM-F0047,FMCG Item 47,FMCG,Biscuits,395,363,3,44
DM-G0048,General Item 48,General,Kitchen,143,107,7,37
DM-G0049,General Item 49,General,Bedding,975,731,12,36
DM-G0050,General Item 50,General,Bedding,1941,1455,12,17
DM-A0051,Apparel Item 51,Apparel,Mens,562,337,10,19
DM-S0052,Staples Item 52,Staples,Flour,489,415,2,44
DM-A0053,Apparel Item 53,Apparel,Womens,1142,685,12,43
DM-F0054,FMCG Item 54,FMCG,Biscuits,391,359,3,37
DM-S0055,Staples Item 55,Staples,Flour,946,804,1,30
DM-G0056,General Item 56,General,Kitchen,141,105,11,17
DM-S0057,Staples Item 57,Staples,Oil,999,849,3,22
